Reference, Value, Footprint, Datasheet
C1,47uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C2,10uF,Capacitors_SMD:C_0805_HandSoldering,
C3,100nF,Capacitors_SMD:C_0805_HandSoldering,
C4,10uF,Capacitors_SMD:C_0805_HandSoldering,
C5,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
C6,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
C7,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
C8,NFM21PC224R1C3D,SMDCAP:cfeed_0805,
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,
D1,1n5711,Diodes_SMD:Diode-SMA_Handsoldering,
D2,1n5711,Diodes_SMD:Diode-SMA_Handsoldering,
L1,BLM21PG220SN1D,SMD_Packages:SMD-0805,
L2,BLM21PG220SN1D,SMD_Packages:SMD-0805,
P1,CN3 from HL,Socket_Strips:Socket_Strip_Angled_2x06,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P3,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
P4,CONN_02X06,Socket_Strips:Socket_Strip_Angled_2x06,
P5,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
R1,1k,Resistors_SMD:R_0805_HandSoldering,
R2,100,Resistors_SMD:R_0805_HandSoldering,
R3,100k,Resistors_SMD:R_0805_HandSoldering,
R4,220k,Resistors_SMD:R_0805_HandSoldering,
R5,100k,Resistors_SMD:R_0805_HandSoldering,
R6,510k,Resistors_SMD:R_0805_HandSoldering,
R7,100k,Resistors_SMD:R_0805_HandSoldering,
R8,510k,Resistors_SMD:R_0805_HandSoldering,
U1,ADC78H90CIMT,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
U2,Oki 5V Reg,Discret:LM78XXV,
U3,Oki 3.3V Reg,Discret:LM78XXV,
U4,LMC6482A,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
