Reference, Value, Footprint, Datasheet
CN1,EDGE,HERMESLITE:EDGE,
T2,8:1,HERMESLITE:TRANSFREV,
T1,4:1,HERMESLITE:TRANSFREV,
C3,0.1 uF,SMD_Packages:SMD-0805,
C4,0.1 uF,SMD_Packages:SMD-0805,
C2,0.1 uF,SMD_Packages:SMD-0805,
D1,DIODESCH2,HERMESLITE:SOD323,
R1,0,Resistors_SMD:R_0805_HandSoldering,
C1,0.1 uF,SMD_Packages:SMD-0805,
FB1,FB,SMD_Packages:SMD-0805,
Q1,FDV301,HERMESLITE:SOT-23-GDS,
D2,GREEN LED (PWR ON),LEDs:LED-0805,
R3,4.99K,Resistors_SMD:R_0805_HandSoldering,
R4,4.99k,Resistors_SMD:R_0805_HandSoldering,
D3,RED LED (PTT),LEDs:LED-0805,
R2,10k,Resistors_SMD:R_0805_HandSoldering,
P3,CONN_01X12,Pin_Headers:Pin_Header_Straight_1x12,
U2,74LS145,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
U1,4050,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
RR1,RR9 - 10k,Discret:r_pack9,
R5,10k,Resistors_SMD:R_0805_HandSoldering,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
J2,CONN_02X01,HERMESLITE:JUMPER,
J1,CONN_02X01,HERMESLITE:JUMPER,
P4,Control for Megaband,Pin_Headers:Pin_Header_Straight_1x07,
