Reference, Value, Footprint, Datasheet
R13,4.7,Resistors_SMD:R_0805_HandSoldering,
R15,6.8,Resistors_SMD:R_0805_HandSoldering,
R10,18,Resistors_SMD:R_0805_HandSoldering,
R18,47,Resistors_SMD:R_0805_HandSoldering,
R26,51,Resistors_SMD:R_0805_HandSoldering,
R3,51,Resistors_SMD:R_0805_HandSoldering,
R5,68,Resistors_SMD:R_0805_HandSoldering,
R6,68,Resistors_SMD:R_0805_HandSoldering,
R7,68,Resistors_SMD:R_0805_HandSoldering,
R2,120,Resistors_SMD:R_0805_HandSoldering,
R27,120,Resistors_SMD:R_0805_HandSoldering,
R12,270,Resistors_SMD:R_0805_HandSoldering,
R17,270,Resistors_SMD:R_0805_HandSoldering,
R8,270,Resistors_SMD:R_0805_HandSoldering,
C1,0.1uF,HERMESLITE:C_0805,
C11,0.1uF,HERMESLITE:C_0805,
C12,0.1uF,HERMESLITE:C_0805,
C13,0.1uF,HERMESLITE:C_0805,
C15,0.1uF,HERMESLITE:C_0805,
C16,0.1uF,HERMESLITE:C_0805,
C17,0.1uF,HERMESLITE:C_0805,
C18,0.1uF,HERMESLITE:C_0805,
C65,0.1uF,HERMESLITE:C_0805,
C66,0.1uF,HERMESLITE:C_0805,
C67,0.1uF,HERMESLITE:C_0805,
C68,0.1uF,HERMESLITE:C_0805,
C69,0.1uF,HERMESLITE:C_0805,
C7,0.1uF,HERMESLITE:C_0805,
C8,0.1uF,HERMESLITE:C_0805,
C85,0.1uF,HERMESLITE:C_0805,
C86,0.1uF,HERMESLITE:C_0805,
C87,0.1uF,HERMESLITE:C_0805,
C9,0.1uF,HERMESLITE:C_0805,
L19,1.09uH,HERMESLITE:Choke_Toroid,
L7,1.09uH,HERMESLITE:Choke_Toroid,
L13,1.257uH,HERMESLITE:Choke_Toroid,
L18,1.38uH,HERMESLITE:Choke_Toroid,
L6,1.38uH,HERMESLITE:Choke_Toroid,
L12,1.698uH,HERMESLITE:Choke_Toroid,
C70,100pF,HERMESLITE:C_0805,
C71,100pF,HERMESLITE:C_0805,
C72,100pF,HERMESLITE:C_0805,
C73,100pf,HERMESLITE:C_0805,
C74,100pF,HERMESLITE:C_0805,
C75,100pF,HERMESLITE:C_0805,
C76,100pF,HERMESLITE:C_0805,
C77,100pF,HERMESLITE:C_0805,
C78,100pF,HERMESLITE:C_0805,
C79,100pf,HERMESLITE:C_0805,
C80,100pF,HERMESLITE:C_0805,
C81,100pf,HERMESLITE:C_0805,
C82,100pF,HERMESLITE:C_0805,
C83,100pF,HERMESLITE:C_0805,
R14,10k,Resistors_SMD:R_0805_HandSoldering,
R16,10k,Resistors_SMD:R_0805_HandSoldering,
C20,10uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
P6,12-13.8v,Pin_Headers:Pin_Header_Straight_1x02,
C34,1200pF,HERMESLITE:C_0805,
C46,1200pF,HERMESLITE:C_0805,
C4,150pf,HERMESLITE:C_0805,
