Reference, Value, Footprint, Datasheet
C1,0.1uF,HERMESLITE:C_0805,
C10,1uF,HERMESLITE:C_0805,
C11,0.1uF,HERMESLITE:C_0805,
C12,0.1uF,HERMESLITE:C_0805,
C13,0.1uF,HERMESLITE:C_0805,
C14,47uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_HandSoldering,
C15,0.1uF,HERMESLITE:C_0805,
C16,0.1uF,HERMESLITE:C_0805,
C17,0.1uF,HERMESLITE:C_0805,
C18,0.1uF,HERMESLITE:C_0805,
C19,4700pF,HERMESLITE:C_0805,
C2,82pf,HERMESLITE:C_0805,
C20,10uF 25V,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C21,820pF,HERMESLITE:C_0805,
C22,470pF,HERMESLITE:C_0805,
C23,360pF,HERMESLITE:C_0805,
C24,180pF,HERMESLITE:C_0805,
C25,100pF,HERMESLITE:C_0805,
C26,82pF,HERMESLITE:C_0805,
C27,DNI,HERMESLITE:C_0805,
C28,DNI,HERMESLITE:C_0805,
C29,100pf,HERMESLITE:C_0805,
C3,DNI,HERMESLITE:C_0805,
C30,43pF,HERMESLITE:C_0805,
C31,DNI,HERMESLITE:C_0805,
C32,DNI,HERMESLITE:C_0805,
C33,2200pF,HERMESLITE:C_0805,
C34,1200pF,HERMESLITE:C_0805,
C35,680pF,HERMESLITE:C_0805,
C36,300pF,HERMESLITE:C_0805,
C37,270pF,HERMESLITE:C_0805,
C38,220pF,HERMESLITE:C_0805,
C39,DNI,HERMESLITE:C_0805,
C4,150pf,HERMESLITE:C_0805,
C40,DNI,HERMESLITE:C_0805,
C41,300pf,HERMESLITE:C_0805,
C42,130pF,HERMESLITE:C_0805,
C43,DNI,HERMESLITE:C_0805,
C44,DNI,HERMESLITE:C_0805,
C45,2200pF,HERMESLITE:C_0805,
C46,1200pF,HERMESLITE:C_0805,
C47,270pF,HERMESLITE:C_0805,
C48,130pF,HERMESLITE:C_0805,
C49,270pF,HERMESLITE:C_0805,
C5,56pf,HERMESLITE:C_0805,
C50,220pF,HERMESLITE:C_0805,
C51,DNI,HERMESLITE:C_0805,
C52,DNI,HERMESLITE:C_0805,
C53,DNI,HERMESLITE:C_0805,
C54,0R Res,HERMESLITE:C_0805,
C55,DNI,HERMESLITE:C_0805,
C56,DNI,HERMESLITE:C_0805,
C57,820pF,HERMESLITE:C_0805,
C58,470pF,HERMESLITE:C_0805,
C59,240pF,HERMESLITE:C_0805,
C6,150pf,HERMESLITE:C_0805,
C60,DNI,HERMESLITE:C_0805,
C61,100pF,HERMESLITE:C_0805,
C62,82pF,HERMESLITE:C_0805,
C63,DNI,HERMESLITE:C_0805,
C64,82pF,HERMESLITE:C_0805,
C65,0.1uF,HERMESLITE:C_0805,
C66,0.1uF,HERMESLITE:C_0805,
C67,0.1uF,HERMESLITE:C_0805,
C68,0.1uF,HERMESLITE:C_0805,
C69,0.1uF,HERMESLITE:C_0805,
C7,0.1uF,HERMESLITE:C_0805,
C70,100pF,HERMESLITE:C_0805,
C71,100pF,HERMESLITE:C_0805,
C72,100pF,HERMESLITE:C_0805,
C73,100pf,HERMESLITE:C_0805,
C74,100pF,HERMESLITE:C_0805,
C75,100pF,HERMESLITE:C_0805,
C76,100pF,HERMESLITE:C_0805,
C77,100pF,HERMESLITE:C_0805,
C78,100pF,HERMESLITE:C_0805,
C79,100pf,HERMESLITE:C_0805,
C8,0.1uF,HERMESLITE:C_0805,
C80,100pF,HERMESLITE:C_0805,
C81,100pf,HERMESLITE:C_0805,
C82,100pF,HERMESLITE:C_0805,
C83,100pF,HERMESLITE:C_0805,
C84,1uF,HERMESLITE:C_0805,
C85,0.1uF,HERMESLITE:C_0805,
C86,0.1uF,HERMESLITE:C_0805,
C87,0.1uF,HERMESLITE:C_0805,
C88,DNI,HERMESLITE:C_0805,
C89,DNI,HERMESLITE:C_0805,
C9,0.1uF,HERMESLITE:C_0805,
K1,HK4100,HERMESLITE:HK4100,
K10,HK4100,HERMESLITE:HK4100,
K11,HK4100,HERMESLITE:HK4100,
K12,HK4100,HERMESLITE:HK4100,
K13,HK4100,HERMESLITE:HK4100,
K14,HK4100,HERMESLITE:HK4100,
K15,HK4100,HERMESLITE:HK4100,
K2,HK4100,HERMESLITE:HK4100,
K3,HK4100,HERMESLITE:HK4100,
K4,HK4100,HERMESLITE:HK4100,
K5,HK4100,HERMESLITE:HK4100,
K6,HK4100,HERMESLITE:HK4100,
K7,HK4100,HERMESLITE:HK4100,
K8,HK4100,HERMESLITE:HK4100,
K9,HK4100,HERMESLITE:HK4100,
L1,363nH,HERMESLITE:Choke_Toroid,
L10,5.608uH,HERMESLITE:Choke_Toroid,
L11,3.012uH,HERMESLITE:Choke_Toroid,
L12,676nH,HERMESLITE:Choke_Toroid,
L13,455uH,HERMESLITE:Choke_Toroid,
L14,668nH,HERMESLITE:Choke_Toroid,
L15,561nH,HERMESLITE:Choke_Toroid,
L16,4.442uH,HERMESLITE:Choke_Toroid,
L17,2.434uH,HERMESLITE:Choke_Toroid,
L18,576nH,HERMESLITE:Choke_Toroid,
L19,DNI,HERMESLITE:Choke_Toroid,
L2,243nH,HERMESLITE:Choke_Toroid,
L20,548nH,HERMESLITE:Choke_Toroid,
L21,444nH,HERMESLITE:Choke_Toroid,
L22,363nH,HERMESLITE:Choke_Toroid,
L3,FT37-43 11T #26,Choke_Toroid_ThroughHole:Choke_Toroid_horizontal_Diameter3-5mm_Amidon-T12,
L4,4.442uH,HERMESLITE:Choke_Toroid,
L5,2.434uH,HERMESLITE:Choke_Toroid,
L6,1.156uH,HERMESLITE:Choke_Toroid,
L7,642.5uH,HERMESLITE:Choke_Toroid,
L8,548nH,HERMESLITE:Choke_Toroid,
L9,444nH,HERMESLITE:Choke_Toroid,
P1,Antenna,HERMESLITE:BNCRA,
P2,CONN_02X06,Pin_Headers:Pin_Header_Angled_2x06,
P3,TX Power Tap,Pin_Headers:Pin_Header_Straight_1x02,
P4,TX-IN,Pin_Headers:Pin_Header_Straight_1x02,
P5,RX IN,Pin_Headers:Pin_Header_Straight_1x02,
P6,12-13.8v,Pin_Headers:Pin_Header_Straight_1x02,
Q1,PZT2222A,TO_SOT_Packages_SMD:SOT-223,
Q2,RD16HHF1,Transistors_TO-220:TO-220_Neutral123_Vertical,
R1,2.7k,Resistors_SMD:R_0805_HandSoldering,
R10,18,Resistors_SMD:R_0805_HandSoldering,
R11,1k,Resistors_SMD:R_0805_HandSoldering,
R12,270,Resistors_SMD:R_0805_HandSoldering,
R13,4.7,Resistors_SMD:R_0805_HandSoldering,
R14,10k,Resistors_SMD:R_0805_HandSoldering,
R15,6.8,Resistors_SMD:R_0805_HandSoldering,
R16,10k,Resistors_SMD:R_0805_HandSoldering,
R17,270,Resistors_SMD:R_0805_HandSoldering,
R18,47,Resistors_SMD:R_0805_HandSoldering,
R19,10k,Resistors_SMD:R_0805_HandSoldering,
R2,120,Resistors_SMD:R_0805_HandSoldering,
R26,51,Resistors_SMD:R_0805_HandSoldering,
R27,120,Resistors_SMD:R_0805_HandSoldering,
R28,2.7k,Resistors_SMD:R_0805_HandSoldering,
R3,51,Resistors_SMD:R_0805_HandSoldering,
R4,39k,Resistors_SMD:R_0805_HandSoldering,
R5,68,Resistors_SMD:R_0805_HandSoldering,
R6,68,Resistors_SMD:R_0805_HandSoldering,
R7,68,Resistors_SMD:R_0805_HandSoldering,
R8,270,Resistors_SMD:R_0805_HandSoldering,
R9,1.2k,Resistors_SMD:R_0805_HandSoldering,
T1,OUT_TRANSF,HERMESLITE:OUT_TRANSF,
T2,BN-43-2402,HERMESLITE:TRANSF,
U1,LP2951-50D,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
VR1,1k MT,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
