Reference, Value, Footprint, Datasheet
P5,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C7,DNI,HERMESLITE:C_0805,
C21,560pF,HERMESLITE:C_0805,
C28,1200pF,HERMESLITE:C_0805,
C42,1200pF,HERMESLITE:C_0805,
C72,DNI,HERMESLITE:C_0805,
L20,3.9uH,HERMESLITE:Choke_SMD_1206_Standard,
L6,3.9uH,HERMESLITE:Choke_SMD_1206_Standard,
U8,PE4259-53,HERMESLITE:sc70-6,
U16,PE4259-53,HERMESLITE:sc70-6,
U15,PE4259-53,HERMESLITE:sc70-6,
U7,PE4259-53,HERMESLITE:sc70-6,
U6,PE4259-53,HERMESLITE:sc70-6,
U5,PE4259-53,HERMESLITE:sc70-6,
U4,PE4259-53,HERMESLITE:sc70-6,
U14,PE4259-53,HERMESLITE:sc70-6,
U13,PE4259-53,HERMESLITE:sc70-6,
U12,PE4259-53,HERMESLITE:sc70-6,
U1,4504,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
P1,CONN_02X07,,
L13,3.9uH,HERMESLITE:Choke_SMD_1206_Standard,
C50,1200pF,HERMESLITE:C_0805,
C65,560pF,HERMESLITE:C_0805,
C58,DNI,HERMESLITE:C_0805,
C14,DNI,HERMESLITE:C_0805,
C35,DNI,HERMESLITE:C_0805,
C8,DNI,HERMESLITE:C_0805,
C22,1000pF,HERMESLITE:C_0805,
C29,1500pF,HERMESLITE:C_0805,
C43,1500pF,HERMESLITE:C_0805,
C73,DNI,HERMESLITE:C_0805,
L21,8.2uH,HERMESLITE:Choke_SMD_1206_Standard,
L7,8.2uH,HERMESLITE:Choke_SMD_1206_Standard,
L14,8.2uH,HERMESLITE:Choke_SMD_1206_Standard,
C51,1500pF,HERMESLITE:C_0805,
C66,1000pF,HERMESLITE:C_0805,
C59,DNI,HERMESLITE:C_0805,
C15,DNI,HERMESLITE:C_0805,
C36,DNI,HERMESLITE:C_0805,
C6,DNI,HERMESLITE:C_0805,
C20,330pF,HERMESLITE:C_0805,
C27,560pF,HERMESLITE:C_0805,
C41,680pF,HERMESLITE:C_0805,
C71,DNI,HERMESLITE:C_0805,
L19,2.2uH,HERMESLITE:Choke_SMD_1206_Standard,
L5,2.2uH,HERMESLITE:Choke_SMD_1206_Standard,
L12,2.2uH,HERMESLITE:Choke_SMD_1206_Standard,
C49,560pF,HERMESLITE:C_0805,
C64,330pF,HERMESLITE:C_0805,
C57,DNI,HERMESLITE:C_0805,
C13,DNI,HERMESLITE:C_0805,
C34,DNI,HERMESLITE:C_0805,
C5,DNI,HERMESLITE:C_0805,
C19,180pF,HERMESLITE:C_0805,
C26,330pF,HERMESLITE:C_0805,
C40,270pF,HERMESLITE:C_0805,
C70,DNI,HERMESLITE:C_0805,
L18,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
L4,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
L11,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
C48,330pF,HERMESLITE:C_0805,
C63,180pF,HERMESLITE:C_0805,
C56,DNI,HERMESLITE:C_0805,
C12,DNI,HERMESLITE:C_0805,
C33,DNI,HERMESLITE:C_0805,
C4,DNI,HERMESLITE:C_0805,
C18,120pF,HERMESLITE:C_0805,
C25,180pF,HERMESLITE:C_0805,
C39,270pF,HERMESLITE:C_0805,
C69,DNI,HERMESLITE:C_0805,
L17,820nH,HERMESLITE:Choke_SMD_1206_Standard,
L3,820nH,HERMESLITE:Choke_SMD_1206_Standard,
L10,820nH,HERMESLITE:Choke_SMD_1206_Standard,
C47,180pF,HERMESLITE:C_0805,
C62,120pF,HERMESLITE:C_0805,
C55,DNI,HERMESLITE:C_0805,
C11,DNI,HERMESLITE:C_0805,
C32,DNI,HERMESLITE:C_0805,
C1,0.1uF,HERMESLITE:C_0805,
C74,0.1uF,HERMESLITE:C_0805,
U3,PE4259-53,HERMESLITE:sc70-6,
U11,PE4259-53,HERMESLITE:sc70-6,
C3,DNI,HERMESLITE:C_0805,
C17,DNI,HERMESLITE:C_0805,
C24,DNI,HERMESLITE:C_0805,
C38,DNI,HERMESLITE:C_0805,
C68,DNI,HERMESLITE:C_0805,
L16,DNI,HERMESLITE:Choke_SMD_1206_Standard,
L2,DNI,HERMESLITE:Choke_SMD_1206_Standard,
L9,DNI,HERMESLITE:Choke_SMD_1206_Standard,
C46,DNI,HERMESLITE:C_0805,
C61,DNI,HERMESLITE:C_0805,
C54,DNI,HERMESLITE:C_0805,
C10,DNI,HERMESLITE:C_0805,
C31,DNI,HERMESLITE:C_0805,
U2,PE4259-53,HERMESLITE:sc70-6,
U10,PE4259-53,HERMESLITE:sc70-6,
C2,DNI,HERMESLITE:C_0805,
C16,68pF,HERMESLITE:C_0805,
C23,120pF,HERMESLITE:C_0805,
C37,120pF,HERMESLITE:C_0805,
C67,DNI,HERMESLITE:C_0805,
L15,680nH,HERMESLITE:Choke_SMD_1206_Standard,
L1,680nH,HERMESLITE:Choke_SMD_1206_Standard,
L8,680nH,HERMESLITE:Choke_SMD_1206_Standard,
C45,120pF,HERMESLITE:C_0805,
C60,68pF,HERMESLITE:C_0805,
C53,DNI,HERMESLITE:C_0805,
C9,DNI,HERMESLITE:C_0805,
C30,DNI,HERMESLITE:C_0805,
U9,4504,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
P4,CONN_02X03,,
P3,CONN_02X03,,
C52,0.1uF,HERMESLITE:C_0805,
C44,10uF,,
